"County","Year","Total.Revenues","Estimated.Population","Revenues.Per.Capita","AcresBurned","StructuresDestroyed","year_before","Revenue.Before","Population.Before","year_after","Revenue.After","Population.After"
"PLACER",2016,562674677,373796,1505,5646,NA,2015,547404953,369454,2017,658575612,382837
"PLACER",2018,706198572,389532,1813,1120,NA,2017,658575612,382837,2019,762996372,396691
"PLUMAS",2017,56460600,19819,2849,2575,NA,2016,57739496,19879,2018,64867700,19773
"PLUMAS",2017,56460600,19819,2849,1020,NA,2016,57739496,19879,2018,64867700,19773
"PLUMAS",2017,56460600,19819,2849,4310,NA,2016,57739496,19879,2018,64867700,19773
"PLUMAS",2019,64464586,19779,3259,54612,NA,2018,64867700,19773,2020,67393220,18260
"RIVERSIDE",2013,3158800159,2255059,1401,20292,40,2012,3001667067,2227577,2014,3284411738,2279967
"RIVERSIDE",2013,3158800159,2255059,1401,27531,NA,2012,3001667067,2227577,2014,3284411738,2279967
"RIVERSIDE",2013,3158800159,2255059,1401,1383,NA,2012,3001667067,2227577,2014,3284411738,2279967
"RIVERSIDE",2013,3158800159,2255059,1401,3166,1,2012,3001667067,2227577,2014,3284411738,2279967
"RIVERSIDE",2015,3686292169,2308441,1597,1049,NA,2014,3284411738,2279967,2016,3858788311,2347828
"RIVERSIDE",2016,3858788311,2347828,1644,1470,1,2015,3686292169,2308441,2017,4343263894,2384783
"RIVERSIDE",2017,4343263894,2384783,1821,1350,NA,2016,3858788311,2347828,2018,4422407003,2415955
"RIVERSIDE",2017,4343263894,2384783,1821,1044,NA,2016,3858788311,2347828,2018,4422407003,2415955
"RIVERSIDE",2017,4343263894,2384783,1821,3874,NA,2016,3858788311,2347828,2018,4422407003,2415955
"RIVERSIDE",2017,4343263894,2384783,1821,6309,NA,2016,3858788311,2347828,2018,4422407003,2415955
"RIVERSIDE",2018,4422407003,2415955,1831,13139,12,2017,4343263894,2384783,2019,4804417426,2440124
"RIVERSIDE",2018,4422407003,2415955,1831,1261,NA,2017,4343263894,2384783,2019,4804417426,2440124
"RIVERSIDE",2019,4804417426,2440124,1969,1011,74,2018,4422407003,2415955,2020,5322611767,2442304
"RIVERSIDE",2019,4804417426,2440124,1969,1926,0,2018,4422407003,2415955,2020,5322611767,2442304
"SACRAMENTO",2017,3355290000,1514770,2215,1286,NA,2016,2851784075,1495297,2018,3481911000,1529501
